"성분AS","성분C","성분B","성분CA","성분CU","성분CR","성분MO","성분MN","성분N","성분P","성분S","성분TOTALAL","성분SOLAL","재료번호","성분V"
0.004,0.036,0,1,0.016,0.02,0,0.182,20,0.0066,0.0035,0.022,0.022,"HQG080380",0
0.005,0.002,0,0,0.025,0.02,0,0.381,17,0.0258,0.0037,0.036,0.035,"HQE058570",0.003
0.006,0.1827,0,0,0.022,0.02,0,0.316,36,0.0088,0.0032,0.024,0.023,"HQX117590",0
0.006,0.0013,4,3,0.053,0.02,0,0.197,16,0.0438,0.008,0.034,0.033,"HQA067740",0.001
0.006,0.0388,0,0,0.007,0.02,0,0.182,23,0.0097,0.0034,0.019,0.018,"HQE019810",0
0.006,0.0015,7,0,0.057,0.02,0,0.187,14,0.0433,0.0083,0.038,0.035,"HQZ081450",0.001
0.004,0.0681,1,0,0.017,0.02,0,0.586,34,0.0191,0.0022,0.021,0.021,"HQJ036540",0.002
0.005,0.0195,0,0,0.009,0.02,0,0.193,16,0.0078,0.0032,0.019,0.018,"HQD083620",0
0.005,0.0357,0,0,0.012,0.02,0,0.187,18,0.0095,0.0045,0.028,0.027,"HQH009210",0
0.004,0.0331,0,0,0.016,0.02,0,0.189,21,0.0084,0.0036,0.025,0.023,"HQH016900",0
0.006,0.0022,0,1,0.013,0.02,0,0.075,22,0.0076,0.0037,0.032,0.032,"HQE077850",0.002
0.007,0.0183,0,11,0.016,0.02,0,0.135,12,0.0098,0.0037,0.029,0.028,"HQA074250",0
0.004,0.0023,0,0,0.021,0.02,0,0.074,16,0.0058,0.0037,0.03,0.026,"HQG128160",0.002
0.005,0.0172,0,1,0.016,0.02,0,0.192,24,0.0082,0.004,0.025,0.024,"HQH057750",0
0.005,0.001,6,0,0.01,0.02,0,0.688,16,0.0586,0.0035,0.034,0.032,"HQE116420",0.002
0.006,0.0323,0,0,0.017,0.02,0,0.193,19,0.0096,0.0035,0.026,0.025,"HQF004390",0
0.007,0.1923,0,0,0.011,0.02,0,0.833,29,0.0082,0.0022,0.024,0.024,"HQA086370",0
0.006,0.0017,0,0,0.014,0.06,0.02,0.145,17,0.0497,0.003,0.037,0.036,"HQB113470",0
0.006,0.0388,0,0,0.023,0.02,0,0.194,27,0.0072,0.003,0.018,0.017,"HQX147280",0
0.006,0.0022,0,2,0.023,0.02,0,0.067,17,0.0055,0.0039,0.029,0.026,"HQX133500",0.003
0.005,0.0019,0,1,0.022,0.05,0.02,0.137,19,0.0503,0.0041,0.032,0.029,"HQX065600",0
0.006,0.0025,0,0,0.02,0.03,0,0.145,21,0.0113,0.003,0.031,0.03,"HQD023420",0.002
0.004,0.1457,0,0,0.023,0.02,0,0.468,29,0.0119,0.003,0.023,0.022,"HQH131830",0
0.005,0.0403,0,0,0.009,0.03,0,0.189,22,0.0148,0.0027,0.024,0.022,"HQC032560",0
0.005,0.0128,18,5,0.025,0.02,0,0.146,22,0.0083,0.0034,0.022,0.022,"HQH060870",0
0.005,0.0464,0,0,0.011,0.02,0,0.195,26,0.0084,0.003,0.021,0.019,"HQC138540",0
0.004,0.0022,0,2,0.018,0.02,0,0.091,12,0.0088,0.0031,0.023,0.022,"HQH039700",0.001
0.005,0.0328,0,13,0.024,0.02,0,0.172,18,0.0083,0.0039,0.027,0.026,"HQB142390",0
0.004,0.0393,0,0,0.022,0.03,0,0.196,23,0.0097,0.0028,0.023,0.021,"HQJ022070",0
0.005,0.0355,10,0,0.011,0.02,0,0.196,17,0.0093,0.0036,0.018,0.017,"HQF007650",0
0.006,0.1524,0,7,0.012,0.02,0,0.82,29,0.0114,0.0026,0.026,0.023,"HQY091920",0.001
0.006,0.0377,0,0,0.021,0.02,0,0.194,13,0.0091,0.0034,0.026,0.025,"HQB088910",0
0.005,0.0011,0,0,0.01,0.01,0,0.072,16,0.0081,0.0031,0.028,0.026,"HQZ078230",0.001
0.005,0.0025,0,0,0.01,0.02,0,0.07,10,0.0071,0.0046,0.028,0.026,"HQE116900",0.002
0.006,0.1014,0,0,0.012,0.01,0,0.687,33,0.0104,0.0027,0.02,0.018,"HQA070750",0
0.005,0.0015,6,0,0.059,0.02,0,0.197,14,0.0446,0.0097,0.039,0.038,"HQE048910",0.001
0.006,0.0371,0,1,0.014,0.01,0,0.199,17,0.009,0.0027,0.033,0.031,"HQB029340",0
0.004,0.0702,0,0,0.021,0.02,0,0.486,33,0.0092,0.0032,0.04,0.039,"HQJ104230",0
0.006,0.0015,0,0,0.01,0.06,0.02,0.134,14,0.0501,0.0033,0.029,0.028,"HQA085640",0
0.004,0.0021,0,0,0.024,0.02,0,0.076,14,0.0086,0.0035,0.031,0.029,"HQF092120",0.003
0.004,0.0013,0,2,0.01,0.02,0,0.059,14,0.0065,0.0031,0.027,0.026,"HQG134620",0.004
0.004,0.0023,0,0,0.019,0.02,0,0.147,16,0.0095,0.0035,0.029,0.028,"HQH009120",0.001
0.006,0.0682,0,0,0.03,0.02,0,0.491,25,0.011,0.0035,0.041,0.04,"HQE085940",0.001
0.004,0.0173,18,0,0.023,0.02,0,0.154,16,0.0083,0.0026,0.028,0.023,"HQH061420",0
0.005,0.0015,0,0,0.009,0.02,0,0.1,18,0.0094,0.0027,0.024,0.022,"HQD153020",0.002
0.004,0.0531,0,1,0.013,0.02,0,0.318,36,0.0107,0.003,0.031,0.031,"HQF034740",0
0.004,0.0027,0,0,0.02,0.02,0,0.139,23,0.0094,0.0031,0.028,0.027,"HQE137750",0.002
0.007,0.0186,0,0,0.011,0.02,0,0.205,14,0.0076,0.0038,0.021,0.02,"HQY127110",0
0.007,0.0433,12,0,0.02,0.02,0,0.212,21,0.008,0.003,0.027,0.025,"HQX056100",0
0.004,0.1195,0,1,0.02,0.03,0,0.449,25,0.0156,0.0027,0.029,0.028,"HQG108500",0
0.007,0.117,0,0,0.011,0.01,0,0.34,26,0.0083,0.0025,0.023,0.023,"HQA084860",0
0.006,0.0307,0,0,0.016,0.02,0,0.28,20,0.0187,0.0029,0.029,0.027,"HQB035100",0
0.005,0.0018,0,0,0.019,0.02,0,0.081,23,0.009,0.0033,0.03,0.028,"HQG057250",0.001
0.005,0.0369,0,0,0.008,0.02,0,0.199,18,0.0104,0.0035,0.023,0.021,"HQD145340",0
0.006,0.1738,0,0,0.017,0.02,0,0.488,35,0.0087,0.003,0.019,0.017,"HQC120490",0
0.004,0.0021,0,0,0.009,0.02,0,0.091,22,0.0104,0.0027,0.031,0.029,"HQJ122050",0.001
0.005,0.0334,0,0,0.009,0.02,0,0.19,18,0.0103,0.0035,0.036,0.035,"HQZ026370",0
0.005,0.0213,0,0,0.01,0.02,0,0.19,16,0.0064,0.003,0.022,0.02,"HQA019350",0
0.006,0.002,0,2,0.026,0.02,0,0.15,20,0.0092,0.0036,0.034,0.032,"HQB002520",0.002
0.006,0.0016,6,0,0.051,0.02,0,0.194,22,0.0434,0.0084,0.036,0.035,"HQX068080",0
0.005,0.0396,0,51,0.012,0.02,0,0.19,19,0.0076,0.0034,0.029,0.027,"HQZ049040",0
