SLAB气,SLAB辨捞,SLAB吝樊,SLAB弥檬历厘困摹,楷林备盒,窜困郴鉴辑,乞闭TS,傈窜_沥沥LT,己盒AS,己盒C,己盒B,己盒CA,己盒CU,己盒CR,己盒MO,己盒MN,己盒N,己盒P,己盒S,己盒TOTALAL,己盒SOLAL,己盒V,沥沥_厘涝LT,傈历厘困摹内靛,惯瘤具靛器牢飘,胶墨俏咯何,前疙,岿备盒,沥沥_拘楷累诀瘤矫LT,厘涝柯档,HCR角利备盒
1220,11040,26.33,2GC,2楷林,2.0,304.0,0.0,0.004,0.0221,0,1,0.013,0.02,0.0,0.189,20.0,0.0085,0.0026,0.025,0.024,0.001,14.5,5GG,4C,0,CR,3,2.3,350,0
1570,7350,22.56,2GA,2楷林,15.0,323.0,0.0,0.005,0.0349,0,0,0.011,0.03,0.0,0.189,23.0,0.0112,0.0037,0.021,0.02,0.0,8.5,3GB,5A,0,HR,3,-5.5,527,0
1300,9120,23.18,2GA,2楷林,25.0,331.0,0.0,0.005,0.0373,0,0,0.011,0.02,0.0,0.202,30.0,0.0108,0.0026,0.027,0.026,0.0,15.8,5GG,5A,0,HR,4,4.5,471,0
1140,10350,23.07,2GA,2楷林,51.0,307.0,0.0,0.005,0.0223,0,0,0.008,0.02,0.0,0.181,14.0,0.008,0.003,0.023,0.022,0.0,5.4,3GB,5A,0,CR,6,-2.2,609,0
1500,10490,30.76,2GA,2楷林,11.0,266.0,0.0,0.005,0.0019,0,0,0.012,0.02,0.0,0.081,18.0,0.0095,0.0034,0.03,0.028,0.001,8.1,5GG,5A,0,FH,2,2.4,472,0
1470,11790,33.88,3GC,2楷林,15.0,276.0,0.0,0.006,0.0016,0,0,0.021,0.02,0.0,0.088,12.0,0.0091,0.0041,0.03,0.029,0.001,6.1,3GB,4C,0,CR,6,-1.2,676,0
1570,10260,31.49,2GC,2楷林,24.0,323.0,0.0,0.005,0.0262,0,0,0.018,0.03,0.0,0.179,35.0,0.0143,0.0036,0.034,0.033,0.0,17.0,5GG,4C,0,PO,4,9.5,460,0
1050,6810,13.98,2GC,2楷林,37.0,343.0,0.0,0.006,0.0472,0,0,0.012,0.02,0.0,0.29,24.0,0.0067,0.0033,0.034,0.033,0.0,16.1,3GB,4C,0,PO,1,0.7,287,1
1270,10930,27.14,3GC,2楷林,27.0,275.0,0.0,0.004,0.0022,0,0,0.021,0.02,0.0,0.098,18.0,0.0091,0.0031,0.031,0.028,0.001,10.7,3GB,4C,0,CR,6,0.9,497,0
1220,8540,20.37,2GB,2楷林,90.0,417.0,0.0,0.005,0.1101,0,1,0.013,0.02,0.0,0.469,28.0,0.01,0.0027,0.014,0.013,0.0,10.3,5GG,5A,0,HR,2,1.2,592,0
1220,8400,20.03,2GB,2楷林,58.0,459.0,0.0,0.005,0.15,0,0,0.024,0.02,0.0,0.459,23.0,0.0097,0.003,0.018,0.016,0.001,8.0,5GG,5A,0,HR,5,-2.8,564,0
1320,11810,30.48,2GD,2楷林,17.0,528.0,0.0,0.005,0.1744,0,1,0.019,0.02,0.0,0.8,37.0,0.0126,0.0018,0.023,0.021,0.001,9.7,5GG,4C,0,HGI,11,0.0,454,0
1100,11550,24.84,3GC,2楷林,35.0,501.0,0.0,0.006,0.1944,0,0,0.011,0.02,0.0,0.454,33.0,0.0126,0.0019,0.048,0.046,0.0,10.2,3GB,4C,0,CR,5,-0.2,472,0
1410,11690,32.22,2GB,2楷林,25.0,526.0,0.0,0.006,0.074,3,0,0.022,0.03,0.0,0.904,31.0,0.0195,0.0023,0.025,0.023,0.001,12.2,5GG,5A,0,GA,12,1.9,475,0
1420,10380,28.82,2GB,2楷林,23.0,524.0,0.0,0.005,0.0778,1,1,0.022,0.02,0.0,0.88,36.0,0.0202,0.0016,0.029,0.028,0.001,6.8,5GG,5A,0,GI,11,-3.1,569,0
