"SLAB번호","정정_장입LT","전저장위치코드","발지야드포인트","스카핑여부","품명","롤단위지정구분","월구분","정정_압연작업지시LT","장입온도"
"SQ57214 541",5.8,"3GB","4C",1,"GI","D",1,-0.2,285
"SQ65120 041",6.7,"3GB","5A",1,"CR",,4,-7,238
"SQ63883 041",9.7,"3GB","5A",1,"GI","F",3,-0.4,288
"SQ53093 521",9.2,"3GB","4C",1,"GI","F",11,-2,165
"SQ69049 531",19.8,"5GG","5A",0,"HR",,5,8.1,1151
"SQ58927 541",16.1,"5GG","5A",0,"HR",,2,12.2,254
"SQ55324 541",13.3,"5GG","4C",0,"GI","F",12,0.4,282
"SQ62387 021",12.7,"5GG","5A",0,"BP",,3,3.5,281
"SQ69199 531",17,"3GB","4C",0,"HR",,5,6.5,196
"SQ63440 541",19.2,"5GG","5A",0,"HR",,3,8.3,177
"SQ80341 031",7,"3GB","4C",1,"CR",,9,0.9,265
"SQ59885 051",15.8,"3GB","5A",0,"HGI","B",2,7.3,225
"SQ78411 521",7.5,"3GB","5A",1,"BP",,9,-1.9,287
"SQ80257 551",19.9,"5GG","4C",0,"FH",,9,8.7,152
"SQ72601 041",10.8,"3GB","4C",1,"CR",,6,3.1,2283
"SQ51646 561",20.1,"5GG","4C",0,"HR","F",11,8.3,251
"SQ60328 041",5.6,"3GB","5A",1,"GI","F",2,-5.5,257
"SQ53109 531",5.6,"3GB","5A",1,"GI",,11,-0.6,290
"SQ77462 531",14.9,"3GB","5A",1,"GI","D",8,9.2,265
"SQ51607 011",9.6,"3GB","4C",1,"GI","F",11,3.7,293
"SQ58279 511",2.3,"3GB","4C",1,"EG","F",1,-3.3,288
"SQ71022 031",8.4,"3GB","4C",1,"CR",,6,1.9,170
"SQ63483 031",13.8,"5GG","5A",0,"GI","B",3,8.5,272
"SQ70219 511",17.2,"5GG","5A",0,"CR",,6,4.4,258
"SQ69657 541",7.3,"3GB","5A",1,"CR",,5,-5.2,174
"SQ55589 521",13.7,"5GG","5A",0,"GI",,12,2,252
"SQ53076 511",17.6,"5GG","4C",0,"CR",,11,6.1,272
"SQ68545 041",5.7,"3GB","5A",1,"CR",,5,-1,194
"SQ55589 021",13.4,"5GG","5A",0,"GI",,12,2,245
"SQ56210 021",2.6,"3GB","5A",1,"HR","F",1,-2.8,292
"SQ51781 051",18.1,"5GG","5A",0,"HR",,11,6.1,275
"SQ70467 541",4.6,"3GB","5A",1,"GA",,6,-4,199
"SQ65889 041",5,"3GB","5A",1,"GI","F",4,-8.5,292
"SQ64634 021",18.3,"5GG","4C",0,"PO","D",4,7,272
"SQ51425 511",7.4,"3GB","4C",1,"GA",,10,1.5,135
"SQ57549 551",3.8,"3GB","5A",1,"GA",,1,-10.5,228
"SQ60853 511",7.2,"3GB","5A",1,"GI","F",2,-6.1,281
"SQ58491 041",14.3,"5GG","5A",0,"GI",,1,4.6,271
"SQ53518 061",18.7,"5GG","5A",0,"CR",,11,12.2,240
"SQ56610 031",16.5,"3GB","4C",0,"CR",,1,1.2,250
"SQ60922 041",15.2,"5GG","5A",0,"HGI","D",2,4.3,256
"SQ65201 511",2.1,"3GB","4C",1,"HR",,4,-2,187
"SQ71595 011",14.1,"3GB","4C",0,"GA","B",6,5,297
"SQ70230 531",10.6,"5GG","5A",0,"CR",,6,-1.8,276
"SQ68209 021",20.4,"5GG","5A",0,"CR",,5,14.3,288
"SQ70992 021",10.7,"3GB","4C",1,"PO","F",6,4.5,256
